trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
4148,False,"{'a': 0.0015, 'e': 0.0019882508432707445}",20,4,23.25905927899982,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
4149,False,"{'a': 0.0015, 'e': 0.0019852707026700653}",30,12,34.454602273490835,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
4150,False,"{'a': 0.0015, 'e': 0.001982295028929304}",25,13,22.36879154248827,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4151,False,"{'a': 0.0015, 'e': 0.001979323815353195}",25,12,21.412272603080023,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
4152,False,"{'a': 0.0015, 'e': 0.0019763570552565066}",25,3,33.61428432783497,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
4153,False,"{'a': 0.0015, 'e': 0.001973394741964025}",20,0,26.008949317747582,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4154,False,"{'a': 0.0015, 'e': 0.001970436868810545}",20,12,12.80414572776661,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
4155,False,"{'a': 0.0015, 'e': 0.0019674834291408512}",25,17,13.284972471836342,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
4156,False,"{'a': 0.0015, 'e': 0.0019645344163097033}",30,18,16.716233295091463,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4157,False,"{'a': 0.0015, 'e': 0.0019615898236818204}",20,10,18.875624077885014,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4158,False,"{'a': 0.0015, 'e': 0.0019586496446318685}",20,12,17.95348206284821,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
4159,False,"{'a': 0.0015, 'e': 0.001955713872544444}",25,0,42.80681591122117,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
4160,False,"{'a': 0.0015, 'e': 0.0019527825008140568}",30,22,17.80701701859136,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
4161,False,"{'a': 0.0015, 'e': 0.0019498555228451206}",20,6,26.47415677792836,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
